dataset,jsDivergenceRF(sklearn/XGBoost),jsDivergenceGBDT(XGBoost/LightGBM)
analcatdata_bondrate,0.3152334584344394,0.4147088549374068
analcatdata_creditscore,0.16666665800238453,0.11682058750976178
australian_credit_approval,0.2288409202857898,0.13867503837832904
corporate_credit_rating,0.060059470502127475,0.04398902527950042
credit_approval,0.2460608632653483,0.24569402141610538
creditcard_fraud_detection,0.009832892496764748,0.07637162375284498
credit_customers,0.2605596061197463,0.23091467597259413
default_credit_card_clients,0.39009694941580225,0.4005902002762269
give_me_some_credit,0.10531705892697978,0.07803918885104709
home_credit_default_risk,0.9777740948565496,0.7318360049013108
taiwanese_bankruptcy_prediction,0.7192361440709906,0.6072493194831455
tvs_loan_default,0.9743407583899095,0.7278198392356554