dataset,GBDT/XGBoost,GBDT/LightGBM
analcatdata_bondrate_GBDT,0.6086956521739131,0.5652173913043478
analcatdata_creditscore_GBDT,0.96,0.98
australian_credit_approval_GBDT,0.8623188405797102,0.8623188405797102
corporate_credit_rating_GBDT,0.5763546798029556,0.5763546798029556
credit_approval_GBDT,0.8260869565217391,0.8260869565217391
creditcard_fraud_detection_GBDT,0.9996137776061234,0.9958568870475053
credit_customers_GBDT,0.78,0.82
default_credit_card_clients_GBDT,0.8166666666666667,0.8203333333333334
give_me_some_credit_GBDT,0.9376666666666666,0.9385
home_credit_default_risk_GBDT,0.921872441460619,0.9225888324873096
taiwanese_bankruptcy_prediction_GBDT,0.966275659824047,0.969208211143695
tvs_loan_default_GBDT,0.9778365667254556,0.9782480893592005