dataset,FNN/TensorFlow,FNN/PyTorch
airbus_historical_financials_FNN,0.0019338515653780847,0.0023600879180035754
amazon_historical_financials_FNN,0.000933956073135532,0.00035592316643199017
applied_materials_historical_financials_FNN,0.0014590230294842736,0.000668836285706703
crude_oil_prices_FNN,5.360290765705539e-06,1.3142461594686407e-07
diamonds_FNN,0.043487560014061316,0.042521644032639916
gamestop_historical_financials_FNN,0.031223246676771774,0.055181364570994686
google_historical_financials_FNN,0.00028301254679356834,4.0841639087411095e-05
hsi_historical_financials_FNN,1.1105963074822244e-10,3.740719093224642e-11
ibm_historical_financials_FNN,0.08715683189596082,0.08646759308318518
nasdaq_historical_financials_FNN,1.8758010260621104e-07,7.069695116715077e-07
walmart_historical_financials_FNN,0.007742604530945196,0.007771153878595435